Hours Studied,Previous Scores,Sleep Hours,Sample Question Papers Practiced,Performance Index,Extracurricular Activities
7,99,9,1,91,Yes
4,82,4,2,65,No
8,51,7,2,45,Yes
5,52,5,2,36,Yes
7,75,8,5,66,No
3,78,9,6,61,No
7,73,5,6,63,Yes
8,45,4,6,42,Yes
5,77,8,2,61,No
4,89,4,0,69,No
8,91,4,5,84,No
8,79,6,2,73,No
3,47,9,2,27,No
6,47,4,2,33,No
5,79,7,8,68,No
2,72,4,3,43,No
8,73,8,4,67,Yes
6,83,7,2,70,Yes
2,54,4,9,30,Yes
5,75,7,0,63,No
1,99,4,3,71,Yes
6,96,9,0,85,No
9,74,7,6,73,Yes
1,85,5,6,57,No
3,61,6,3,35,No
7,62,7,4,49,Yes
4,79,8,9,66,No
9,84,6,6,83,Yes
3,94,6,5,74,Yes
5,90,4,3,74,Yes
3,61,7,3,39,Yes
7,44,9,1,36,Yes
5,70,6,9,58,Yes
9,52,8,1,47,Yes
7,67,9,3,60,Yes
2,97,9,4,74,Yes
4,59,8,3,42,No
9,72,8,2,68,No
2,55,4,1,32,Yes
9,68,5,3,64,No
5,62,7,4,45,No
2,63,6,0,39,Yes
4,73,7,0,58,Yes
7,46,9,5,36,No
8,77,6,4,71,Yes
3,76,4,3,54,Yes
1,43,7,0,17,Yes
4,73,4,6,54,No
2,81,4,3,58,Yes
8,61,7,2,53,No
4,44,7,6,27,Yes
2,89,6,1,65,Yes
6,81,9,9,75,No
6,62,9,0,52,Yes
4,93,8,3,78,No
6,99,4,7,91,No
2,54,9,5,33,Yes
2,70,5,8,47,Yes
4,98,6,0,78,No
8,48,6,0,38,No
7,82,8,4,70,Yes
9,97,8,5,98,Yes
8,92,4,7,87,Yes
5,64,6,2,49,Yes
2,64,6,5,41,Yes
5,88,5,2,71,No
8,60,4,7,54,No
9,48,4,3,42,No
9,94,9,1,91,No
1,87,8,8,61,Yes
9,77,9,9,74,No
7,61,4,7,54,Yes
9,82,5,5,81,Yes
8,62,4,2,52,Yes
1,88,9,1,65,Yes
8,43,7,3,36,Yes
8,68,7,3,61,No
3,54,5,0,35,Yes
1,40,8,8,15,Yes
8,93,6,9,88,Yes
3,69,4,7,45,No
3,68,9,6,49,Yes
1,59,8,5,33,Yes
5,72,9,2,60,Yes
7,80,8,3,71,No
9,83,4,1,81,Yes
7,75,6,6,67,No
9,99,4,1,95,No
8,61,6,9,58,Yes
2,52,9,0,29,No
1,46,5,5,21,No
7,47,6,3,38,Yes
7,67,8,7,60,Yes
8,84,5,0,76,Yes
5,82,9,8,69,Yes
3,48,7,5,30,No
8,64,5,1,57,No
6,95,6,7,81,Yes
3,55,5,4,36,Yes
1,49,9,4,25,Yes
3,50,5,4,27,No
5,70,9,6,61,Yes
3,51,7,6,34,No
1,99,6,9,76,No
5,70,8,6,57,No
7,53,5,9,45,No
7,90,4,1,76,Yes
9,83,8,7,83,Yes
3,71,5,0,50,Yes
7,89,8,1,81,No
1,92,4,6,66,No
4,56,8,3,38,Yes
4,74,8,9,56,No
5,40,4,9,25,No
7,68,4,8,56,No
7,90,4,8,82,Yes
4,43,7,2,23,Yes
7,62,9,2,56,Yes
3,67,9,8,46,No
6,55,4,9,43,Yes
2,51,9,7,30,Yes
9,92,8,0,92,Yes
5,60,4,5,45,No
6,84,5,6,70,No
4,56,4,7,36,No
7,79,4,1,71,No
9,52,9,0,49,No
7,91,6,3,82,Yes
1,97,8,0,71,Yes
1,71,9,1,43,No
9,76,8,2,77,No
9,89,5,3,86,Yes
4,54,7,5,34,No
9,51,6,7,49,No
3,88,5,8,69,No
7,96,5,3,84,No
6,54,8,0,41,No
8,73,6,4,68,Yes
9,45,8,4,44,Yes
5,56,7,8,41,No
1,87,8,5,58,No
3,88,4,4,68,Yes
8,96,8,9,94,No
6,59,4,9,47,Yes
8,48,5,4,40,No
9,98,7,7,100,Yes
4,44,9,0,23,Yes
1,62,4,4,36,No
1,72,7,0,47,No
4,77,8,6,60,Yes
7,95,9,6,83,No
2,53,8,9,33,Yes
3,56,5,7,36,No
1,96,8,6,74,No
5,58,4,8,42,No
1,72,5,7,47,Yes
8,40,7,7,31,Yes
1,52,5,2,26,No
1,85,7,9,58,Yes
2,66,6,3,42,No
2,45,4,3,18,Yes
6,98,4,0,85,No
7,45,7,5,36,Yes
5,72,8,1,58,Yes
1,69,9,8,45,Yes
1,85,8,0,60,Yes
3,74,6,0,56,Yes
2,62,7,9,42,Yes
5,49,6,5,33,No
6,90,7,0,77,No
7,58,6,2,51,Yes
4,90,7,9,72,No
7,67,4,1,57,Yes
8,62,6,8,53,No
1,43,6,4,16,No
6,59,7,5,45,No
8,58,5,1,49,No
5,81,5,7,67,Yes
4,66,4,5,49,No
2,96,8,7,73,No
6,73,8,7,65,No
6,43,4,0,27,Yes
1,95,8,6,72,No
9,77,9,1,74,Yes
6,46,9,7,38,Yes
3,87,9,1,67,No
4,46,9,3,28,Yes
4,89,7,1,73,No
3,91,5,6,72,No
3,65,4,4,42,No
3,65,7,8,47,No
4,93,9,4,77,No
7,58,4,7,49,No
4,48,5,1,30,No
9,59,8,2,54,Yes
1,81,7,5,56,Yes
8,84,5,6,75,No
7,89,4,9,78,No
2,55,6,7,32,Yes
8,93,7,2,89,No
1,56,4,6,29,Yes
9,61,4,7,57,Yes
9,52,5,9,48,No
2,51,4,5,27,No
7,49,7,3,38,Yes
3,40,9,5,18,Yes
7,71,7,8,66,No
9,69,4,2,65,No
4,47,5,1,27,Yes
1,60,7,4,33,Yes
2,61,6,6,37,Yes
1,57,9,2,29,No
5,41,8,4,26,No
5,87,5,3,72,No
7,83,5,6,77,Yes
9,48,8,1,45,Yes
9,42,8,6,41,No
3,93,7,1,73,Yes
3,65,4,2,43,Yes
3,60,4,4,39,Yes
4,69,6,6,54,Yes
8,67,9,5,62,Yes
6,75,4,6,63,No
8,65,6,5,59,No
1,73,6,0,46,No
8,47,5,4,42,No
4,49,5,0,30,No
1,87,9,6,63,Yes
8,94,7,3,89,Yes
4,82,8,4,62,Yes
6,89,8,0,77,No
8,93,9,7,88,Yes
4,53,6,3,35,Yes
3,79,9,2,60,Yes
9,94,8,0,92,No
3,54,6,3,38,Yes
9,56,8,2,56,Yes
2,92,7,7,70,No
2,57,5,8,35,No
2,71,5,4,47,Yes
6,77,6,8,66,No
3,62,9,0,43,Yes
9,85,8,6,81,No
4,62,4,6,43,Yes
1,74,7,5,46,Yes
4,78,8,3,61,No
1,54,4,8,27,No
5,92,7,2,77,No
4,63,7,0,43,No
8,67,5,1,60,Yes
8,55,6,2,48,No
7,55,8,1,47,Yes
3,79,7,5,60,Yes
1,78,8,6,53,Yes
1,45,7,4,19,No
3,41,9,4,23,Yes
6,93,5,6,81,Yes
7,52,6,5,41,No
6,83,4,7,71,Yes
6,86,4,8,75,Yes
6,98,9,1,89,Yes
3,48,5,1,28,No
6,73,7,0,60,Yes
8,56,5,6,54,Yes
2,66,6,3,41,Yes
5,68,4,8,52,No
1,76,8,5,53,No
1,82,4,6,52,No
5,61,6,6,47,Yes
3,90,7,7,71,Yes
4,63,5,3,42,Yes
3,46,4,2,21,Yes
1,73,4,2,48,Yes
1,87,8,9,64,No
5,51,5,7,38,Yes
6,62,8,2,49,Yes
3,54,8,7,35,No
9,72,7,1,73,No
5,96,4,4,81,Yes
8,52,9,4,47,No
1,62,5,6,36,No
5,77,7,4,63,No
3,71,9,8,52,Yes
1,84,7,2,58,No
4,89,7,8,77,Yes
5,74,6,0,58,No
7,40,6,2,33,Yes
1,86,7,3,67,Yes
3,97,6,5,76,Yes
2,84,5,9,62,No
9,44,4,7,37,No
6,96,9,6,86,No
3,52,5,7,37,Yes
8,93,4,5,88,No
8,44,6,5,38,No
2,99,9,5,76,Yes
6,71,5,2,57,No
7,90,8,9,82,Yes
2,60,7,3,35,No
2,63,4,5,41,Yes
1,99,4,6,75,Yes
8,57,8,2,51,No
1,60,8,3,34,Yes
9,93,7,5,92,No
6,49,6,0,39,No
7,63,5,6,56,No
7,79,5,0,69,No
3,86,5,9,69,Yes
2,60,6,8,40,Yes
9,64,7,9,63,Yes
8,91,5,8,86,No
7,99,4,8,89,No
9,96,4,3,94,Yes
4,98,4,1,79,Yes
4,62,8,6,44,No
1,61,8,3,33,No
8,43,6,4,36,No
3,73,5,0,50,Yes
7,95,8,9,94,No
2,45,4,5,22,Yes
2,67,8,6,44,No
7,70,4,2,60,Yes
6,74,5,9,64,No
3,78,6,1,58,Yes
9,81,7,9,78,Yes
6,62,7,6,51,Yes
6,45,4,0,30,No
1,55,8,1,29,Yes
4,41,8,2,22,Yes
6,63,4,3,51,No
6,56,5,4,45,Yes
5,84,4,3,70,Yes
1,40,5,9,10,No
8,45,6,2,38,Yes
5,44,6,0,30,No
5,96,4,6,82,Yes
7,84,6,9,74,No
4,99,8,5,87,Yes
6,94,5,1,77,Yes
4,89,7,1,72,Yes
3,68,7,2,51,No
7,51,6,7,40,Yes
8,78,5,7,72,Yes
4,86,8,9,68,No
2,42,7,9,22,No
3,87,8,9,67,No
1,40,8,9,18,Yes
8,66,7,7,64,Yes
3,87,7,6,66,Yes
7,63,6,1,50,No
5,83,5,0,68,No
5,58,4,5,44,Yes
7,98,5,7,90,Yes
9,47,4,0,41,No
5,94,7,2,83,No
1,83,8,0,57,No
1,86,5,9,64,Yes
2,41,8,8,18,No
6,69,5,6,62,No
9,69,9,7,66,No
8,88,5,8,85,No
5,78,8,2,62,Yes
1,84,9,9,62,No
7,71,6,1,62,Yes
5,40,7,5,26,Yes
6,77,6,4,66,No
7,52,6,3,43,No
3,50,5,5,30,Yes
3,49,7,5,25,No
5,87,9,2,77,Yes
6,98,5,1,88,No
9,65,4,8,62,Yes
5,95,5,7,82,Yes
1,94,9,3,73,Yes
4,59,8,5,44,No
5,56,5,2,40,Yes
5,56,4,7,39,Yes
7,43,5,2,34,No
4,44,9,1,27,No
1,99,4,6,73,Yes
5,62,7,2,46,Yes
7,85,9,8,78,No
6,91,5,2,80,Yes
5,49,4,7,33,No
4,85,9,1,68,No
2,67,7,8,45,No
4,72,8,0,56,Yes
3,82,6,2,58,No
1,65,4,1,37,Yes
8,94,8,6,88,Yes
5,89,7,4,75,No
4,87,8,7,70,No
8,68,5,1,62,No
7,66,6,7,57,No
2,57,4,6,32,Yes
1,79,9,4,53,Yes
4,99,7,1,82,No
8,49,6,9,41,Yes
2,97,7,6,75,No
3,81,8,9,63,Yes
1,44,7,3,17,Yes
1,49,7,3,24,Yes
3,89,8,7,69,No
5,60,8,5,47,Yes
3,63,6,8,43,Yes
1,77,4,1,48,Yes
1,42,8,4,17,Yes
8,79,6,5,75,No
2,70,7,7,54,Yes
3,80,7,3,59,No
2,76,9,6,56,No
3,41,5,6,20,Yes
7,41,8,3,34,Yes
1,78,6,0,54,No
8,88,9,2,83,No
2,81,6,1,59,No
3,83,4,2,63,Yes
9,73,9,4,72,Yes
7,81,6,0,70,No
4,59,8,4,41,No
5,72,6,1,54,No
2,43,5,3,21,Yes
8,84,7,5,83,Yes
4,83,7,8,64,No
9,50,9,9,51,Yes
5,81,6,5,66,No
9,86,6,9,83,Yes
4,44,6,1,26,No
5,64,6,7,49,Yes
9,88,5,4,85,Yes
8,99,8,8,95,Yes
3,76,5,9,56,Yes
1,73,5,8,50,Yes
