symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,target
5,164,99.80000305,176.6000061,66.19999695,54.29999924,2337,109,3.190000057,3.400000095,10,102,5500,24,30,13950
5,164,99.40000153,176.6000061,66.40000153,54.29999924,2824,136,3.190000057,3.400000095,8,115,5500,18,22,17450
4,158,105.8000031,192.6999969,71.40000153,55.70000076,2844,136,3.190000057,3.400000095,8.5,110,5500,19,25,17710
4,158,105.8000031,192.6999969,71.40000153,55.90000153,3086,131,3.130000114,3.400000095,8.300000191,140,5500,17,20,23875
5,192,101.1999969,176.8000031,64.80000305,54.29999924,2395,108,3.5,2.799999952,8.800000191,101,5800,23,29,16430
3,192,101.1999969,176.8000031,64.80000305,54.29999924,2395,108,3.5,2.799999952,8.800000191,101,5800,23,29,16925
3,188,101.1999969,176.8000031,64.80000305,54.29999924,2710,164,3.309999943,3.190000057,9,121,4250,21,28,20970
3,188,101.1999969,176.8000031,64.80000305,54.29999924,2765,164,3.309999943,3.190000057,9,121,4250,21,28,21105
5,121,88.40000153,141.1000061,60.29999924,53.20000076,1488,61,2.910000086,3.029999971,9.5,48,5100,47,53,5151
4,98,94.5,155.8999939,63.59999847,52,1874,90,3.029999971,3.109999895,9.600000381,70,5400,38,43,6295
3,81,94.5,158.8000031,63.59999847,52,1909,90,3.029999971,3.109999895,9.600000381,70,5400,38,43,6575
4,118,93.69999695,157.3000031,63.79999924,50.79999924,1876,90,2.970000029,3.230000019,9.409999847,68,5500,37,41,5572
4,118,93.69999695,157.3000031,63.79999924,50.79999924,1876,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,6377
4,118,93.69999695,157.3000031,63.79999924,50.79999924,2128,98,3.029999971,3.390000105,7.599999905,102,5500,24,30,7957
4,148,93.69999695,157.3000031,63.79999924,50.59999847,1967,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,6229
4,148,93.69999695,157.3000031,63.79999924,50.59999847,1989,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,6692
4,148,93.69999695,157.3000031,63.79999924,50.59999847,1989,90,2.970000029,3.230000019,9.399999619,68,5500,31,38,7609
2,110,103.3000031,174.6000061,64.59999847,59.79999924,2535,122,3.339999914,3.460000038,8.5,88,5000,24,30,8921
6,145,95.90000153,173.1999969,66.30000305,50.20000076,2811,156,3.599999905,3.900000095,7,145,5000,19,24,12964
5,137,86.59999847,144.6000061,63.90000153,50.79999924,1713,92,2.910000086,3.410000086,9.600000381,58,4800,49,54,6479
5,137,86.59999847,144.6000061,63.90000153,50.79999924,1819,92,2.910000086,3.410000086,9.199999809,76,6000,31,38,6855
4,101,93.69999695,150,64,52.59999847,1837,79,2.910000086,3.069999933,10.10000038,60,5500,38,42,5399
4,101,93.69999695,150,64,52.59999847,1940,92,2.910000086,3.410000086,9.199999809,76,6000,30,34,6529
4,101,93.69999695,150,64,52.59999847,1956,92,2.910000086,3.410000086,9.199999809,76,6000,30,34,7129
3,110,96.5,163.3999939,64,54.5,2010,92,2.910000086,3.410000086,9.199999809,76,6000,30,34,7295
3,78,96.5,157.1000061,63.90000153,58.29999924,2024,92,2.920000076,3.410000086,9.199999809,76,6000,30,34,7295
3,106,96.5,167.5,65.19999695,53.29999924,2236,110,3.150000095,3.579999924,9,86,5800,27,33,7895
3,106,96.5,167.5,65.19999695,53.29999924,2289,110,3.150000095,3.579999924,9,86,5800,27,33,9095
3,85,96.5,175.3999939,65.19999695,54.09999847,2304,110,3.150000095,3.579999924,9,86,5800,27,33,8845
3,85,96.5,175.3999939,62.5,54.09999847,2372,110,3.150000095,3.579999924,9,86,5800,27,33,10295
3,85,96.5,175.3999939,65.19999695,54.09999847,2465,110,3.150000095,3.579999924,9,101,5800,24,28,12945
4,107,96.5,169.1000061,66,51,2293,110,3.150000095,3.579999924,9.100000381,100,5500,25,31,10345
3,145,113,199.6000061,69.59999847,52.79999924,4066,258,3.630000114,4.170000076,8.100000381,176,4750,15,19,32250
4,104,93.09999847,159.1000061,64.19999695,54.09999847,1890,91,3.029999971,3.150000095,9,68,5000,30,31,5195
4,104,93.09999847,159.1000061,64.19999695,54.09999847,1900,91,3.029999971,3.150000095,9,68,5000,31,38,6095
4,104,93.09999847,159.1000061,64.19999695,54.09999847,1905,91,3.029999971,3.150000095,9,68,5000,31,38,6795
4,113,93.09999847,166.8000031,64.19999695,54.09999847,1945,91,3.029999971,3.150000095,9,68,5000,31,38,6695
4,113,93.09999847,166.8000031,64.19999695,54.09999847,1950,91,3.079999924,3.150000095,9,68,5000,31,38,7395
4,129,98.80000305,177.8000031,66.5,53.70000076,2385,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,8845
3,115,98.80000305,177.8000031,66.5,55.5,2410,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,8495
4,129,98.80000305,177.8000031,66.5,53.70000076,2385,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,10595
3,115,98.80000305,177.8000031,66.5,55.5,2410,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,10245
3,115,98.80000305,177.8000031,66.5,55.5,2425,122,3.390000105,3.390000105,8.600000381,84,4800,26,32,11245
3,118,104.9000015,175,66.09999847,54.40000153,2670,140,3.75999999,3.160000086,8,120,5000,19,27,18280
2,93,110,190.8999939,70.30000305,56.5,3515,183,3.579999924,3.640000105,21.5,123,4350,22,25,25552
2,93,110,190.8999939,70.30000305,58.70000076,3750,183,3.579999924,3.640000105,21.5,123,4350,22,25,28248
3,93,106.6999969,187.5,70.30000305,54.90000153,3495,183,3.579999924,3.640000105,21.5,123,4350,22,25,28176
2,93,115.5999985,202.6000061,71.69999695,56.29999924,3770,183,3.579999924,3.640000105,21.5,123,4350,22,25,31600
6,142,96.59999847,180.3000031,70.5,50.79999924,3685,234,3.460000038,3.099999905,8.300000191,155,4750,16,18,35056
5,161,93.69999695,157.3000031,64.40000153,50.79999924,1918,92,2.970000029,3.230000019,9.399999619,68,5500,37,41,5389
5,161,93.69999695,157.3000031,64.40000153,50.79999924,1944,92,2.970000029,3.230000019,9.399999619,68,5500,31,38,6189
5,161,93.69999695,157.3000031,64.40000153,50.79999924,2004,92,2.970000029,3.230000019,9.399999619,68,5500,31,38,6669
4,161,93,157.3000031,63.79999924,50.79999924,2145,98,3.029999971,3.390000105,7.599999905,102,5500,24,30,7689
6,153,96.30000305,173,65.40000153,49.40000153,2370,110,3.170000076,3.460000038,7.5,116,5500,23,30,9959
